Save Date,08:47:35 2020/12/10
Mode,User

Sampling Time(ms),8.0
Time Scale(ms/div),2000.0
Data Length(ms),20000.0

Trigger Enable,0
Trigger Channel,1
Trigger Level(div),0.0
Trigger Type,0
Pre Trigger(div),5.0
AlarmNo,1

CH1,1,0,2,1,0.000
CH2,1,0,2,2,0.000
CH3,1,0,2,3,0.000
CH4,0,0,2,4,0.000
CH5,0,0,2,5,0.000
CH6,0,0,2,6,0.000
CH7,0,0,0,1,0.000
CH8,0,0,0,1,0.000
CH9,0,0,0,1,0.000
CH10,0,0,0,1,0.000

CH1,1,0,0.0,50.00
CH2,1,0,0.0,50.00
CH3,1,0,0.0,50.00
CH4,1,0,0.0,50.00
CH5,1,0,0.0,50.00
CH6,1,0,0.0,50.00
CH7,1,0,0.0,1000.00
CH8,1,0,0.0,1000.00
CH9,1,0,0.0,1000.00
CH10,1,0,0.0,1000.00

Time,CH1,CH2,CH3
ms,%,%,%
2840.0,-1.514191,-40.385193,-51.949951
2848.0,-2.438965,-40.303894,-52.112549
2856.0,-4.146240,-40.425842,-52.823914
2864.0,-2.560913,-40.141296,-53.626740
2872.0,-3.780396,-40.110809,-53.271057
2880.0,-5.162476,-39.948212,-52.823914
2888.0,-4.664520,-40.385193,-52.051575
2896.0,-5.304749,-39.927887,-51.309723
2904.0,-6.127899,-39.440094,-51.391022
2912.0,-4.979553,-40.161621,-50.842255
2920.0,-4.207214,-39.846588,-50.669495
2928.0,-5.507996,-39.409607,-50.984528
2936.0,-5.345398,-39.287659,-51.309723
2944.0,-3.841370,-38.738892,-50.821930
2952.0,-2.042633,-39.023438,-51.330048
2960.0,-1.361755,-39.389282,-50.964203
2968.0,2.378063,-39.724640,-50.720306
2976.0,2.682943,-40.161621,-50.242676
2984.0,4.207343,-40.049835,-49.886993
2992.0,3.577258,-39.683990,-50.161377
3000.0,5.508164,-40.751038,-50.425598
3008.0,7.947203,-40.527466,-50.882904
3016.0,8.587451,-41.431915,-50.547546
3024.0,8.648427,-40.466492,-50.303650
3032.0,10.813074,-41.289642,-50.527222
3040.0,11.077303,-40.690063,-49.907318
3048.0,10.833400,-41.330292,-50.141052
3056.0,10.569170,-41.431915,-50.080078
3064.0,11.239906,-40.242920,-50.801605
3072.0,10.376080,-40.730713,-51.167450
3080.0,8.394361,-40.812012,-51.482483
3088.0,7.286630,-40.344543,-51.370697
3096.0,7.124027,-40.141296,-50.821930
3104.0,9.034608,-39.907562,-50.323975
3112.0,6.087436,-40.385193,-50.263000
3120.0,5.121983,-40.507141,-50.425598
3128.0,5.040681,-40.090485,-50.283325
3136.0,5.467513,-39.968536,-49.622772
3144.0,4.126041,-40.029510,-49.826019
3152.0,4.867916,-40.629089,-50.242676
3160.0,2.662618,-40.588440,-49.744720
3168.0,2.113834,-39.683990,-49.744720
3176.0,2.063021,-39.582367,-50.019104
3184.0,3.617908,-39.460419,-49.439850
3192.0,1.453261,-39.582367,-49.968292
3200.0,-0.294708,-39.501068,-49.378876
3208.0,1.412610,-39.287659,-49.439850
3216.0,-1.321106,-39.389282,-49.785370
3224.0,0.497971,-38.860840,-48.941895
3232.0,-1.941010,-38.627106,-49.358551
3240.0,-1.880035,-38.606781,-49.602448
3248.0,-2.377991,-38.860840,-49.643097
3256.0,-3.841370,-38.423859,-49.338226
3264.0,-4.278351,-38.840515,-49.399200
3272.0,-5.365723,-38.779541,-49.358551
3280.0,-6.127899,-38.505157,-49.378876
3288.0,-6.463257,-38.464508,-50.202026
3296.0,-6.686829,-39.064087,-49.521149
3304.0,-7.327057,-38.139313,-50.303650
3312.0,-7.743713,-38.220612,-50.181702
3320.0,-7.804688,-38.200287,-49.521149
3328.0,-7.164459,-37.844604,-50.120728
3336.0,-7.347382,-38.118988,-49.500824
3344.0,-7.062836,-36.919830,-49.927643
3352.0,-6.605530,-38.240936,-49.643097
